fecha,indicador,valor,fuente
2022-12-25,TC_oficial_venta,182.0,argentinadatos.com
2022-12-26,TC_oficial_venta,183.0,argentinadatos.com
2022-12-27,TC_oficial_venta,183.0,argentinadatos.com
2022-12-28,TC_oficial_venta,184.0,argentinadatos.com
2022-12-29,TC_oficial_venta,184.0,argentinadatos.com
2022-12-30,TC_oficial_venta,185.0,argentinadatos.com
2022-12-31,TC_oficial_venta,185.0,argentinadatos.com
2023-01-01,TC_oficial_venta,185.0,argentinadatos.com
2023-01-02,TC_oficial_venta,185.0,argentinadatos.com
2023-01-03,TC_oficial_venta,186.0,argentinadatos.com
2023-01-04,TC_oficial_venta,186.0,argentinadatos.com
2023-01-05,TC_oficial_venta,186.0,argentinadatos.com
2023-01-06,TC_oficial_venta,187.0,argentinadatos.com
2023-01-07,TC_oficial_venta,187.0,argentinadatos.com
2023-01-08,TC_oficial_venta,187.0,argentinadatos.com
2023-01-09,TC_oficial_venta,188.0,argentinadatos.com
2023-01-10,TC_oficial_venta,188.0,argentinadatos.com
2023-01-11,TC_oficial_venta,188.0,argentinadatos.com
2023-01-12,TC_oficial_venta,188.0,argentinadatos.com
2023-01-13,TC_oficial_venta,189.0,argentinadatos.com
2023-01-14,TC_oficial_venta,189.0,argentinadatos.com
2023-01-15,TC_oficial_venta,189.0,argentinadatos.com
2023-01-16,TC_oficial_venta,189.0,argentinadatos.com
2023-01-17,TC_oficial_venta,190.0,argentinadatos.com
2023-01-18,TC_oficial_venta,190.0,argentinadatos.com
2023-01-19,TC_oficial_venta,190.0,argentinadatos.com
2023-01-20,TC_oficial_venta,191.0,argentinadatos.com
2023-01-21,TC_oficial_venta,191.0,argentinadatos.com
2023-01-22,TC_oficial_venta,191.0,argentinadatos.com
2023-01-23,TC_oficial_venta,192.0,argentinadatos.com
2023-01-24,TC_oficial_venta,192.0,argentinadatos.com
2023-01-25,TC_oficial_venta,192.0,argentinadatos.com
2023-01-26,TC_oficial_venta,193.0,argentinadatos.com
2023-01-27,TC_oficial_venta,193.0,argentinadatos.com
2023-01-28,TC_oficial_venta,193.0,argentinadatos.com
2023-01-29,TC_oficial_venta,193.0,argentinadatos.com
2023-01-30,TC_oficial_venta,194.0,argentinadatos.com
2023-01-31,TC_oficial_venta,194.0,argentinadatos.com
2023-02-01,TC_oficial_venta,195.0,argentinadatos.com
2023-02-02,TC_oficial_venta,195.0,argentinadatos.com
2023-02-03,TC_oficial_venta,195.0,argentinadatos.com
2023-02-04,TC_oficial_venta,195.0,argentinadatos.com
2023-02-05,TC_oficial_venta,195.0,argentinadatos.com
2023-02-06,TC_oficial_venta,197.0,argentinadatos.com
2023-02-07,TC_oficial_venta,197.0,argentinadatos.com
2023-02-08,TC_oficial_venta,197.0,argentinadatos.com
2023-02-09,TC_oficial_venta,197.0,argentinadatos.com
2023-02-10,TC_oficial_venta,198.0,argentinadatos.com
2023-02-11,TC_oficial_venta,198.0,argentinadatos.com
2023-02-12,TC_oficial_venta,198.0,argentinadatos.com
