ejercicio,jur_id,jur_desc,prg_id,prg_desc,monto_original,monto_vigente,monto_normalizado
2023,25,Jefatura de Gabinete de Ministros,16,Control y Fiscalizacion de Servicios de Tecnologias de la Informacion y las Comunicaciones,1521497571.5,2268697905.7,1521497571.0
2023,25,Jefatura de Gabinete de Ministros,16,"Prevencion, Estadisticas e Investigacion sobre Consumos Problematicos",519032725.03,532877651.88,519032725.0
2024,25,Jefatura de Gabinete de Ministros,16,Acceso a la Informacion Publica y Proteccion de Datos Personales,989.69,2336.55,2336545958.0
2024,25,Jefatura de Gabinete de Ministros,16,Acciones de Integracion de Personas con Discapacidad,3898.16,4768.98,4768984280.0
2024,25,Jefatura de Gabinete de Ministros,16,Acciones del Banco Nacional de Datos Geneticos,1090.68,2172.9,2172901927.0
2024,25,Jefatura de Gabinete de Ministros,16,Control y Fiscalizacion de Servicios de Tecnologias de la Informacion y las Comunicaciones,2333.21,9693.83,9693826986.0
2024,25,Jefatura de Gabinete de Ministros,16,Formacion de Recursos Humanos,180254.04,459769.52,459769519569.0
2024,25,Jefatura de Gabinete de Ministros,16,Generacion de Ciclos de Informacion Espacial Completos,10099.38,45537.01,45537007709.0
2025,25,Jefatura de Gabinete de Ministros,16,Acceso a la Informacion Publica y Proteccion de Datos Personales,2336.55,2336.55,2336545958.0
2025,25,Jefatura de Gabinete de Ministros,16,Acciones del Banco Nacional de Datos Geneticos,2172.9,2258.04,2258035089.0
2025,25,Jefatura de Gabinete de Ministros,16,Atencion y Desarrollo de Poblaciones Indigenas,4847.21,5718.4,5718404901.0
2025,25,Jefatura de Gabinete de Ministros,16,"Control de Ingresos y Egresos, Admision y Permanencia de Personas dentro del Territorio Nacional",108315.5,155274.86,155274858767.0
2025,25,Jefatura de Gabinete de Ministros,16,Control y Fiscalizacion de Servicios de Tecnologias de la Informacion y las Comunicaciones,9693.83,10567.03,10567026986.0
2025,25,Jefatura de Gabinete de Ministros,16,Formacion de Recursos Humanos,459769.52,542362.39,542362389894.0
2025,25,Jefatura de Gabinete de Ministros,16,Generacion de Ciclos de Informacion Espacial Completos,38036.57,50868.19,50868189523.0
2025,25,Jefatura de Gabinete de Ministros,16,"Identificacion, Registro y Clasificacion del Potencial Humano Nacional",147601.45,196751.39,196751392992.0
2025,25,Jefatura de Gabinete de Ministros,16,Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad,3229.2,397250.39,397250385694.0
2025,25,Jefatura de Gabinete de Ministros,16,Promocion del Turismo Receptivo Internacional,12143.42,12881.49,12881492651.0
2026,25,Jefatura de Gabinete de Ministros,16,Acceso a la Informacion Publica y Proteccion de Datos Personales,2478.0,2420.16,2420160000.0
2026,25,Jefatura de Gabinete de Ministros,16,Acciones de Comunicacion y Difusion de Actos de Gobierno,30715.72,28544.89,28544890376.0
2026,25,Jefatura de Gabinete de Ministros,16,Acciones del Banco Nacional de Datos Geneticos,2469.67,2469.67,2469666946.0
2026,25,Jefatura de Gabinete de Ministros,16,Control y Fiscalizacion de Servicios de Tecnologias de la Informacion y las Comunicaciones,15349.12,11979.12,11979119184.0
2026,25,Jefatura de Gabinete de Ministros,16,Formacion de Recursos Humanos,567035.61,564985.94,564985938002.0
2026,25,Jefatura de Gabinete de Ministros,16,Generacion de Ciclos de Informacion Espacial Completos,26947.63,23580.58,23580578010.0
2026,25,Jefatura de Gabinete de Ministros,16,Promocion del Turismo Receptivo Internacional,13851.0,13568.4,13568400000.0
2023,25,Jefatura de Gabinete de Ministros,17,Atencion de Usuarios,2491815658.81,3595606395.6,2491815659.0
2023,25,Jefatura de Gabinete de Ministros,17,Atencion y Acompañamiento a Personas con Consumos Problematicos,8688751016.74,15964563121.55,8688751017.0
2024,25,Jefatura de Gabinete de Ministros,17,Abordaje Territorial,59.0,0.0,0.0
2024,25,Jefatura de Gabinete de Ministros,17,Atencion de Usuarios,3598.6,7238.42,7238420427.0
2024,25,Jefatura de Gabinete de Ministros,17,Investigacion y Desarrollo de Medios de Acceso al Espacio,5386.59,11441.79,11441793648.0
2025,25,Jefatura de Gabinete de Ministros,17,Atencion de Usuarios,7238.42,6920.07,6920070427.0
2025,25,Jefatura de Gabinete de Ministros,17,Conservacion y Administracion de Areas Naturales Protegidas,39699.62,59526.51,59526508044.0
2025,25,Jefatura de Gabinete de Ministros,17,"Cooperacion, Asistencia Tecnica y Capacitacion a Municipios",17898.4,3327.97,3327966085.0
2025,25,Jefatura de Gabinete de Ministros,17,Investigacion y Desarrollo de Medios de Acceso al Espacio,4382.13,7445.8,7445798504.0
2026,25,Jefatura de Gabinete de Ministros,17,Atencion de Usuarios,4876.64,4954.64,4954644786.0
2026,25,Jefatura de Gabinete de Ministros,17,Conservacion y Administracion de Areas Naturales Protegidas,71022.57,70768.16,70768162438.0
2026,25,Jefatura de Gabinete de Ministros,17,Investigacion y Desarrollo de Medios de Acceso al Espacio,1270.56,326.39,326392831.0
2023,25,Jefatura de Gabinete de Ministros,18,Administracion de Servicios de Tecnologias de la Informacion y las Comunicaciones,1142800900.8,1535863550.86,1142800901.0
